Complexity,Loss,Equation
1,66.628525,"21.332613"
3,52.16782,"x4 + 21.332644"
4,12.371136,"square(x4 + 4.4723983)"
5,6.870167,"(x4 * 7.7303534) + 21.332644"
6,6.7957287,"38.296436 - square(x4 + -3.9954338)"
7,6.4245324,"(x4 * (x2 + 7.8075123)) + 21.42476"
8,6.3651247,"(x4 * (square(x2) + 6.7915506)) + 21.405722"
9,6.0779448,"((x2 + 7.86187) * (x4 + 0.59123933)) + 16.776451"
10,6.0378046,"((x4 + 0.7238235) * (square(x2) + 6.844142)) + 15.72792"
11,5.2970495,"(x4 * 7.9388547) + (21.499317 + (0.16246055 / (x0 - 0.2999265)))"
13,5.0967813,"((0.17161371 / (x0 - 0.3051409)) + (x4 * (x2 + 7.960332))) + 21.542469"
15,4.869964,"(0.16182116 / (x0 - 0.30538577)) + (17.922947 + ((x4 + 0.45264867) * (x2 + 7.995479)))"
16,4.7829146,"(0.16222195 / (x0 - 0.3040946)) + (((x4 + 0.6213477) * (square(x2) + 6.997836)) + 16.555117)"
17,4.76904,"((x4 + 0.6138884) * ((x2 / 1.4666686) + 7.977318)) + ((0.16631576 / (x0 - 0.30455497)) + 16.62406)"
18,4.768661,"(((square(x2 / -1.0794615) + 7.1189523) * (x4 + 0.6224748)) + 16.553743) + (0.1660637 / (x0 - 0.30454707))"
20,4.768155,"(((0.16578448 / (x0 - 0.30443949)) + -0.2987556) + ((x4 + 0.6310103) * (square(x2 * 0.92558455) + 7.120284))) + 16.784714"
